Name,Symbol,Mean Return (%),StdDev (%),Skewness,Kurtosis,Min Return (%),Max Return (%),Start Date,End Date
Pax Dollar,USDP,0.0003434615449789413,0.3910270461456606,-0.12496386603107444,44.352553989621434,-5.21887989087491,4.891291425680711,2018-09-28,2022-08-23
KuCoin Token,KCS,0.1490093520409149,6.97191757580596,1.2762777688750122,13.25147574065975,-49.58360604606389,67.36696561311832,2017-11-10,2022-08-23
BitTorrent (New),BTT,0.05275239133856783,7.188812246639907,0.22986389441266464,26.029093265754877,-77.64753490799788,74.76353261569378,2019-02-01,2022-08-23
Maker,MKR,0.06519774188375785,6.450297278203906,-0.39736282227620995,20.88961545018757,-81.81845967914931,45.84607319310798,2017-11-21,2022-08-23
Helium,HNT,0.3938055051845352,7.899492705839535,0.36721658770073984,1.769553393010348,-29.87545270618832,33.94434952469206,2020-06-09,2022-08-23
IOTA,MIOTA,-0.03489020493937577,6.675365491846009,-0.2809230636512519,7.930235228177892,-54.35627001935319,38.47657930060245,2017-11-10,2022-08-23
The Graph,GRT,-0.2669086202269585,33.045497121567095,-1.9974750801563557,41.10708516672033,-347.5027438966105,233.54143134769282,2020-06-20,2022-04-01
Fantom,FTM,0.18968503172304785,9.216310323630013,-0.030811023009928454,6.678768812301611,-70.5873294033509,50.23978614446336,2018-10-31,2022-08-23
USDD,USDD,-0.01010574004704816,0.390742318716278,-0.3598673465595899,7.827828575053388,-1.6656632890734002,1.6414890987687474,2022-05-03,2022-08-23
Klaytn,KLAY,0.09108889635312867,7.007817364707882,2.689492908572595,38.30681591379338,-51.0774841309775,90.88673350906764,2020-03-31,2022-08-23
eCash,XEC,0.0975563135961158,7.905725371747567,1.383330429789654,12.93428692315389,-49.40185003112223,51.295100828770224,2021-07-09,2022-08-23
Synthetix,SNX,0.11330690940133464,8.304038985168209,0.20914426413861853,4.329503278447749,-51.532265778255535,54.348905482530974,2018-03-15,2022-08-23
THORChain,RUNE,0.4284677204730002,9.199716675763487,-0.17424288036810542,2.574889601647235,-55.34484588579964,37.16701345825215,2019-07-24,2022-08-23
Neo,NEO,-0.06814998628773508,6.320957007738367,-0.42728659413582704,5.817851266789106,-46.563979590963164,34.433521452490325,2017-11-10,2022-08-23
Huobi Token,HT,0.06812587697593635,5.323534767684228,-0.11369287368419069,13.535965327088398,-49.74415795805349,48.21464716455645,2018-02-04,2022-08-23
Neutrino USD,USDN,0.0012573050562878284,1.2037449655600907,-4.340224762475104,98.78898896004105,-18.76882125978852,11.805299284693223,2020-01-31,2022-08-23
Lido DAO,LDO,0.03311418372852727,11.603228338863177,0.40211152815248025,3.8318579298622204,-57.484872212639495,60.69421451608316,2021-01-06,2022-08-23
Curve DAO Token,CRV,-0.31722610005327767,9.666519563323876,-0.33750439549120725,4.106049262850335,-56.8725495985481,42.59645645231508,2020-08-15,2022-08-23
PAX Gold,PAXG,0.012490188630684095,1.1341395265740895,-0.42007804786295894,9.234395485697203,-8.771853234659766,6.463566523462383,2019-09-27,2022-08-23
PancakeSwap,CAKE,0.180755801761955,9.061089832140965,-1.5140888102021903,20.118746674998178,-94.05154140863525,36.68664605069216,2020-09-30,2022-08-23
Basic Attention Token,BAT,0.04691330590588932,6.682119402267316,-0.11450377763766341,5.215371480346835,-51.447135013490566,37.608779049320276,2017-11-10,2022-08-23
Waves,WAVES,-0.0009783813351441398,7.032493913717475,0.3987883577022969,8.403087748591728,-48.708391885503374,53.41241552103397,2017-11-10,2022-08-23
Dash,DASH,-0.11044295054132384,6.089638812229181,0.20488103921297618,9.949771664516446,-46.545863269032225,45.13043395844605,2017-11-10,2022-08-23
Stacks,STX,0.057695849559594156,7.669948368067779,0.44701426019752544,20.03699578698813,-71.24114230038327,79.94053231970094,2019-10-29,2022-08-23
Nexo,NEXO,0.1008854659001917,6.54391520237654,-0.2343996493185335,5.225434191606606,-46.93348875321419,37.698036279851536,2018-05-02,2022-08-23
Loopring,LRC,0.04712264547091607,8.195418817887921,0.5180987722433522,5.94630940489319,-57.774928953029956,49.17977477301283,2017-11-10,2022-08-23
Enjin Coin,ENJ,0.1795418078288346,8.294072086434673,1.181436642701319,14.156358754967837,-62.42336551154266,76.82296595830951,2017-11-10,2022-08-23
Zilliqa,ZIL,-0.07757517398784505,7.384490552331672,0.49185808693249916,10.193292288112213,-56.58985485386285,66.67581884720315,2018-01-26,2022-08-23
STEPN,GMT,-0.8532217794593455,19.18604710674297,-6.7750498345214565,105.35284192428317,-288.6012969214112,84.30656854468282,2021-04-14,2022-08-23
Mina,MINA,-0.33449722535595294,7.448225146912611,0.28611864518349894,3.997887306443566,-37.080302710080765,36.769823488092946,2021-06-02,2022-08-23
Kava,KAVA,0.032842503226001095,7.661185710616518,-1.2841240179056128,11.32696344543429,-75.18113113848256,32.03471109149875,2019-10-26,2022-08-23
Trust Wallet Token,TWT,0.6709408664326322,9.672442283270952,2.4563747829388554,19.00570234188862,-39.601258780227084,89.59922395638345,2020-07-31,2022-08-23
Bitcoin Gold,BTG,-0.10607814997936266,7.255183509534866,1.286036722808779,19.777827895869194,-54.44419912010871,71.63250694567711,2017-11-10,2022-08-23
Kusama,KSM,0.3379785271468125,8.037940789457659,0.18367489880188329,5.035774562639457,-53.87009329281503,46.42297433749394,2019-12-13,2022-08-23
Gnosis,GNO,0.04053590882096705,6.4758350011784165,-0.002948451237691889,7.179132836093615,-42.87265045542759,50.90106734755375,2017-11-10,2022-08-23
